### mean error data for gnuplot ###
#
#time 	 pred step 	 personid 	 mean Er xy 	 stdev xy 	 mean Er th 	 stdev th
14	3		1082.68	885.592	1.1557	0.72609
14	4		1414.73	1088.98	1.22154	0.681018
14	5		1874.58	1220.66	0.977182	0.118448
14	6		2064.38	1365.8	0.917179	0.229896
14	7		2463.66	1598.61	0.957189	0.180326
14	8		2847.83	1938.58	0.875708	0.119301
15	0		0	0	1.04449	0.381658
15	1		446.612	249.646	1.04781	0.452618
15	2		834.904	456.609	1.02064	0.450057
15	3		1211.89	762.075	1.06197	0.394596
15	4		1611.92	1066.99	1.10701	0.262415
15	5		2033.63	1159.7	1.15647	0.192014
15	6		2520.18	1515.39	1.11809	0.26563
15	7		2929.63	1651.79	1.05123	0.255766
15	8		3455.08	1934.03	1.11541	0.225427
16	0		0	0	0.892155	0.453573
16	1		401.073	113.485	0.864467	0.421076
16	2		869.543	362.522	0.929108	0.309569
16	3		1558.21	582.406	1.24235	0.441929
16	4		1938.97	842.625	1.3673	0.512934
16	5		2514.45	1173.89	1.28173	0.482562
16	6		2959.41	1359.68	1.2197	0.522206
16	7		3431.79	1636.62	1.29305	0.505984
16	8		3704.12	1917.83	0.982604	0.284191
17	0		0	0	0.825501	0.387097
17	1		522.614	301.5	0.883357	0.278676
17	2		1247.22	611.736	1.23098	0.474607
17	3		1705.78	901.807	1.37584	0.586849
17	4		2287.76	1256.2	1.28516	0.527673
17	5		2712.4	1549.84	1.21938	0.586381
17	6		3274.65	1796.18	1.30805	0.575408
17	7		3547.21	2000.06	0.940007	0.270253
17	8		4195.83	2660.04	0.958965	0.257417
18	0		0	0	0.905082	0.21167
18	1		524.195	386.047	1.25122	0.476872
18	2		1017.62	917.241	1.41441	0.616169
18	3		1508.25	1227.43	1.31095	0.545838
18	4		1915.57	1606.06	1.26716	0.594427
18	5		2514.81	1802.63	1.35784	0.606285
18	6		2948.85	2134.95	0.951456	0.195442
18	7		4297.55	2082.47	0.996688	0.197185
18	8		5080.66	2370.81	0.917192	0.48407
19	0		0	0	1.07088	0.101272
19	1		447.547	245.458	1.05428	0.0943306
19	2		798.237	379.346	1.07822	0.102988
19	3		1205.35	597.551	1.01194	0.0794744
19	4		1755.58	659.68	1.07085	0.0307946
19	5		2232.8	1051.12	1.1338	0.364772
19	6		3156.5	1004.86	1.22681	0.354322
19	7		3746.77	1185.29	1.05706	0.375055
19	8		4308.52	1313.05	1.2996	0.443842
20	0		0	0	0.876618	0.427758
20	1		499.49	343.447	1.02658	0.182077
20	2		845.759	714.268	0.912895	0.234408
20	3		1358.38	921.67	0.945634	0.291398
20	4		1816.58	1355.91	1.22954	0.456107
20	5		2925.28	1349.26	1.32899	0.450336
20	6		3475.51	1608.9	1.11857	0.361766
20	7		4164.47	1844.56	1.51262	0.732958
20	8		4676.56	1870.94	0.859361	0.339149
21	0		0	0	1.05585	0.135074
21	1		593.052	297.125	0.99674	0.0551153
21	2		1258.56	374.765	1.02921	0.132707
21	3		1887.62	945.772	1.20664	0.397725
21	4		3157.18	389.412	1.30771	0.388042
21	5		3941.85	476.069	1.11358	0.351204
21	6		4706.23	534.661	1.46109	0.576704
21	7		5246.77	350.037	1.00262	0.170816
21	8		6243.58	330.376	1.19272	0.459703
22	0		0	0	0.785743	0.249269
22	1		782.713	167.261	0.829991	0.259513
22	2		1654.89	734.693	1.05469	0.451042
22	3		2540.53	812.712	1.05726	0.486145
22	4		3079.34	735.339	0.833738	0.459952
22	5		3764.07	784.781	1.08277	0.743384
22	6		4222.6	1015.87	0.755108	0.301583
22	7		4945.91	1152.87	0.854213	0.573019
22	8		5655.11	997.527	0.674855	0.285235
23	0		0	0	0.83823	0.328822
23	1		836.134	372.574	1.12655	0.420151
23	2		1205.73	515.038	1.095	0.48648
23	3		1571.53	747.734	0.871148	0.449826
23	4		1942.15	1093.34	1.11012	0.799389
23	5		2202.92	1147.18	0.754593	0.307274
23	6		2646.54	1439.75	0.832289	0.596455
23	7		2901.35	1730.77	0.663097	0.303898
24	0		0	0	0.890455	0.305732
24	1		686.155	496.922	0.883299	0.33802
24	2		1462.83	1180.84	0.791537	0.416002
24	3		2204.73	1676.47	0.823004	0.296436
24	4		2985.45	2102.23	0.972653	0.524448
24	5		3649	2546.12	1.08386	0.652689
24	6		4342.25	3016.85	0.91826	0.542952
