9335700 -15105 -10548 91.3384 -323.681 1584976700.000000
9335900 -16870 11885 -176.747 560.512 1584976700.000000
9342700 1923 6814 478.373 -768.587 1584976700.000000
9335700 -15083 -10550 117.577 -466.186 1584976700.000000
9335900 -16874 11891 -197.168 537.514 1584976700.000000
9342700 1943 6784 422.751 -791.457 1584976700.000000
9335700 -15077 -10558 181.435 -559.276 1584976700.000000
9335900 -16891 11879 -170.034 568.891 1584976700.000000
9342700 1970 6707 428.373 -903.872 1584976700.000000
9335700 -15068 -10581 213.323 -639.361 1584976700.000000
9335900 -16885 11869 -158.976 564.739 1584976700.000000
9342700 1981 6638 337.892 -930.053 1584976700.000000
9335700 -15061 -10576 172.74 -592.262 1584976700.000000
9335900 -16891 11880 -171.64 572.315 1584976700.000000
9342700 1989 6582 331.439 -923.595 1584976700.000000
9335700 -15060 -10550 147.099 -628.627 1584976700.000000
9335900 -16883 11867 -168.788 536.922 1584976700.000000
9342700 2003 6504 347.948 -969.339 1584976700.000000
9335700 -15064 -10546 94.0899 -641.45 1584976700.000000
9335900 -16881 11883 -173.202 601.861 1584976700.000000
9342700 2013 6432 350.287 -1030.39 1584976700.000000
9335700 -15067 -10558 24.1264 -695.99 1584976700.000000
9335900 -16875 11883 -167.407 586.089 1584976700.000000
9342700 2056 6359 374.027 -1085.8 1584976700.000000
9335700 -15080 -10540 -20.4816 -668.387 1584976700.000000
9335900 -16872 11834 -184.149 599.262 1584976700.000000
9342700 2077 6316 267.983 -919.809 1584976700.000000
9335700 -15099 -10542 -121.65 -701.647 1584976700.000000
9335900 -16873 11818 -166.62 574.564 1584976700.000000
9342700 2118 6283 234.466 -811.302 1584976700.000000
9335700 -15103 -10550 -137.193 -751.59 1584976700.000000
9335900 -16873 11830 -161.345 575.439 1584976700.000000
9342700 2137 6232 273.877 -742.958 1584976700.000000
9335700 -15091 -10557 -31.4361 -723.282 1584976700.000000
9335900 -16886 11847 -213.967 618.461 1584976700.000000
9342700 2156 6178 322.837 -791.275 1584976700.000000
9335700 -15044 -10582 69.9249 -811.481 1584976700.000000
9335900 -16912 11858 -202.975 564.126 1584976700.000000
9342700 2175 6124 312.142 -765.065 1584976700.000000
9335700 -15032 -10596 69.4792 -825.496 1584976700.000000
9335900 -16940 11862 -169.149 599.08 1584976700.000000
9342700 2187 6115 314.337 -748.946 1584976700.000000
9335700 -15041 -10618 19.569 -817.86 1584976700.000000
9335900 -16958 11875 -116.873 657.891 1584976700.000000
9342700 2207 6061 338.592 -753.266 1584976700.000000
9335700 -15039 -10620 -13.294 -825.144 1584976701.000000
9335900 -16973 11897 -88.1861 660.7 1584976701.000000
9342700 2230 6020 359.528 -623.106 1584976701.000000
9335700 -15040 -10618 10.6453 -778.059 1584976701.000000
9335900 -16986 11912 -43.8529 677.842 1584976701.000000
9342700 2246 5974 379.951 -672.007 1584976701.000000
9335700 -15024 -10621 -17.1119 -802.692 1584976701.000000
9335900 -16975 11910 17.2036 674.634 1584976701.000000
9342700 2265 5919 434.16 -725.024 1584976701.000000
9335700 -15039 -10612 -11.434 -746.102 1584976701.000000
9335900 -16965 11900 -1.64809 599.444 1584976701.000000
9342700 2292 5856 422.58 -761.794 1584976701.000000
9335700 -15047 -10605 17.3757 -679.674 1584976701.000000
9335900 -16954 11885 21.5773 681.533 1584976701.000000
9342700 2306 5818 417.704 -725.339 1584976701.000000
9335700 -15077 -10570 3.90021 -621.979 1584976701.000000
9335900 -16952 11872 -36.7323 564.178 1584976701.000000
9342700 2316 5787 415.142 -667.333 1584976701.000000
9335700 -15094 -10600 -3.74742 -684.654 1584976701.000000
9335900 -16945 11834 -74.0655 584.903 1584976701.000000
9342700 2325 5751 461.538 -712.729 1584976701.000000
9335700 -15101 -10551 76.9245 -605.116 1584976701.000000
9335900 -16954 11797 -115.076 654.919 1584976701.000000
9342700 2338 5680 398.981 -625.948 1584976701.000000
