### mean error data for gnuplot ###
#
#time 	 pred step 	 personid 	 mean Er xy 	 stdev xy 	 mean Er th 	 stdev th
14	4		1626.01	504.213	0.6956	0.344827
14	5		1967.79	637.032	0.683178	0.347299
14	6		2361.63	979.716	0.722253	0.319191
14	7		2631.98	1362.7	0.749462	0.345917
14	8		3305.18	1905.49	0.806609	0.371322
15	0		0	0	0.696373	0.429865
15	1		452.584	395.531	0.854936	0.557392
15	2		989.912	796.653	0.799144	0.52429
15	3		1405.59	1173.72	0.811471	0.547792
15	4		1868.51	1570.82	0.838777	0.558733
15	5		2400.98	1912.95	0.836712	0.517362
15	6		2866.19	2395.73	0.871211	0.562577
15	7		3646.88	2733.96	0.920154	0.497459
15	8		4094.72	3325.6	1.0239	0.633698
16	0		0	0	0.747163	0.432614
16	1		358.964	219.612	0.709127	0.404837
16	2		602.526	240.337	0.723775	0.388928
16	3		842.709	423.432	0.708075	0.388849
16	4		1087.79	536.606	0.732514	0.382991
16	5		1261.99	679.141	0.759413	0.387371
16	6		1891.41	1022.95	0.815764	0.419795
16	7		2330.44	1173.57	0.942319	0.550838
16	8		2868.25	1374.69	0.989251	0.53743
17	0		0	0	0.736736	0.428923
17	1		303.75	179.685	0.756962	0.405841
17	2		606.615	311.113	0.749137	0.400601
17	3		979.155	428.251	0.77753	0.385531
17	4		1228.44	653.352	0.794189	0.401662
17	5		1747.59	949.814	0.851563	0.417411
17	6		2115.28	1088.52	0.968737	0.554723
17	7		2689.48	1520.04	1.01129	0.543802
17	8		3420.12	2202.75	1.02398	0.654778
18	0		0	0	0.732917	0.430997
18	1		370.025	241.813	0.731811	0.377058
18	2		753.845	465.259	0.76287	0.371129
18	3		1123.29	571.727	0.776845	0.385691
18	4		1715	947.191	0.852131	0.389032
18	5		2027.72	990.194	0.968513	0.542132
18	6		2604.37	1277.66	1.00489	0.544199
18	7		3300.34	1695.58	1.02122	0.642575
18	8		3861.32	2113.31	0.908899	0.630583
19	0		0	0	0.727066	0.396816
19	1		653.075	429.745	0.774726	0.358429
19	2		1173.55	760.035	0.776086	0.373675
19	3		1797.1	1172.45	0.835277	0.403399
19	4		2079.96	1418.25	0.967404	0.532275
19	5		2613.22	1770.07	1.00411	0.513414
19	6		3223.82	2195.15	1.01368	0.635656
19	7		3777.54	2649.27	0.923777	0.593815
19	8		4494.01	3334.23	0.939908	0.586291
20	0		0	0	0.77481	0.351304
20	1		399.644	190.213	0.776937	0.341021
20	2		924.017	452.394	0.813452	0.382238
20	3		1309.47	574.526	0.927598	0.493674
20	4		1715.08	975.891	0.9487	0.49947
20	5		2309.96	1472.11	0.964186	0.610084
20	6		2847.15	1906.29	0.893472	0.557615
20	7		3504.31	2505.11	0.898427	0.552567
20	8		3894.65	3095.13	0.920259	0.612172
21	0		0	0	0.765859	0.373225
21	1		683.987	370.036	0.826843	0.39059
21	2		1006.64	579.671	0.900109	0.501857
21	3		1513.72	843.291	0.929598	0.510864
21	4		2196.3	1185.54	0.952505	0.555935
21	5		2751.49	1538.2	0.888727	0.540354
21	6		3394.76	2164.68	0.896743	0.537533
21	7		3984	2799.08	0.913549	0.571065
21	8		4520.08	3190.1	0.947815	0.581795
22	0		0	0	0.870089	0.477381
22	1		637.092	671.98	0.942873	0.538053
22	2		1240.83	1484.35	0.969042	0.539173
22	3		1890.7	2299.04	1.0067	0.620955
22	4		2535.05	2995.55	0.948397	0.564712
22	5		3356.83	3926.05	0.942196	0.565838
22	6		4109.02	4933.03	0.978532	0.596276
22	7		4830.73	5936.93	1.01757	0.600002
23	0		0	0	0.853336	0.405433
23	1		426.746	195.674	0.864458	0.348163
23	2		854.723	383.246	0.840489	0.307152
23	3		1281.16	743.881	0.803194	0.300717
23	4		1529.01	946.278	0.79291	0.295323
23	5		2184.85	1249.46	0.796241	0.276273
23	6		2586.68	1628.38	0.824123	0.299879
24	0		0	0	0.871647	0.397664
24	1		497.551	300.971	0.868856	0.315495
24	2		1004.74	597.737	0.826746	0.324883
24	3		1342.77	755.396	0.811541	0.32605
24	4		1895.7	1128.24	0.829578	0.271919
24	5		2623.86	1388.06	0.859428	0.269603
