### mean error data for gnuplot ###
#
#time 	 pred step 	 personid 	 mean Er xy 	 stdev xy 	 mean Er th 	 stdev th
14	4		2124.33	2371.93	1.15612	0.433033
14	5		2751.37	3129.53	1.21044	0.387784
14	6		3473.36	3782.23	1.17805	0.42653
14	7		4248.01	4665.46	1.14316	0.436866
14	8		5099.87	5337.76	1.09599	0.451909
15	0		0	0	0.976076	0.391041
15	1		406.591	75.0954	0.912347	0.314919
15	2		892.681	414.288	0.952891	0.321246
15	3		1580.1	981.246	1.01714	0.243874
15	4		2140.5	1404.52	1.04952	0.223266
15	5		2610.79	1857.01	1.00227	0.298612
15	6		3277.38	2433.92	0.978964	0.295195
15	7		3710.09	2970.45	0.934544	0.315118
15	8		4669.51	3372.19	1.06363	0.273121
16	0		0	0	0.746895	0.191931
16	1		436.594	208.764	0.779641	0.225474
16	2		1032.45	583.247	0.829431	0.19848
16	3		1509.13	769.047	0.877007	0.178624
16	4		1940.78	870.321	0.835453	0.227281
16	5		2591.62	1205.99	0.804214	0.196942
16	6		3069.11	1460.54	0.765252	0.174825
16	7		4032.16	1179.21	0.916342	0.17838
16	8		4150.51	660.991	1.16788	0.516014
17	0		0	0	0.753717	0.334807
17	1		310.833	190.987	0.811336	0.305677
17	2		552.93	361.448	0.822988	0.33858
17	3		954.875	344.269	0.769998	0.363304
17	4		1266.36	454.869	0.742719	0.341381
17	5		1508.71	500.261	0.717452	0.290074
17	6		1880	724.063	0.951736	0.081118
17	7		2883.73	549.748	1.26876	0.517755
17	8		4490.22	959.595	1.55887	0.841051
18	0		0	0	0.836845	0.311858
18	1		539.397	147.787	0.868499	0.340598
18	2		1193.97	385.003	0.835405	0.355535
18	3		1569.08	538.547	0.799045	0.334815
18	4		2036.12	922.701	0.783085	0.274736
18	5		3350.55	828.254	0.973028	0.0866036
18	6		4776	1434.14	1.30287	0.487714
18	7		6403.01	2613.26	1.58584	0.83146
18	8		8066.53	3702.52	1.44456	0.659044
19	0		0	0	0.855448	0.39807
19	1		264.083	115.04	0.804876	0.414775
19	2		418.577	231.609	0.789681	0.392461
19	3		661.096	464.087	0.77936	0.323447
19	4		1347.03	776.954	0.987692	0.101937
19	5		2221.08	1311.02	1.31251	0.506753
19	6		3539.02	1923.54	1.62504	0.85986
19	7		4723.89	2705.49	1.45522	0.684222
19	8		5880.68	3498.73	1.15768	0.296192
20	0		0	0	0.730978	0.446434
20	1		209.514	99.8709	0.725999	0.425895
20	2		555.695	41.3838	0.710837	0.365839
20	3		1246.05	224.931	0.950769	0.235567
20	4		2146.85	534.896	1.26708	0.591562
20	5		3361.3	1582.57	1.60905	0.915563
20	6		4617.86	2413.08	1.41443	0.758998
20	7		5693.41	3057.83	1.10865	0.408674
20	8		7069.68	3814.6	1.24084	0.542943
21	0		0	0	0.705662	0.405263
21	1		603.666	228.357	0.695467	0.329842
21	2		1534.86	177.381	0.938074	0.141233
21	3		2702.66	97.9085	1.26405	0.555523
21	4		4017.27	952.391	1.59782	0.911155
21	5		5409.79	1652.05	1.41138	0.735652
21	6		6674.38	2106.05	1.10686	0.356387
21	7		8061.57	2698.71	1.23123	0.515747
21	8		9364.6	3063.44	1.08927	0.33531
22	0		0	0	0.651676	0.297501
22	1		601.372	369.789	0.860299	0.232121
22	2		1533.81	1090.06	1.16685	0.639937
22	3		2783.38	2496.08	1.50033	0.925211
22	4		3864.46	3705.7	1.3167	0.79984
22	5		4967.49	4694.26	1.02028	0.451769
22	6		6160.94	5746.69	1.14802	0.586582
22	7		7306.9	6504.68	1.00852	0.425635
23	0		0	0	0.868339	0.321853
23	1		714.742	349.469	1.0319	0.584137
23	2		1806.93	1361.87	1.22164	0.665047
23	3		2670.55	2386.04	1.12467	0.66859
23	4		3724.47	3415.49	0.954277	0.480234
23	5		4824.53	4451.69	1.02482	0.56395
23	6		5797.18	5412.79	0.946972	0.463561
24	0		0	0	0.842169	0.511146
24	1		771.278	478.959	0.926112	0.31989
24	2		1514.08	994.437	0.852884	0.400548
24	3		2396.53	1617.55	1.00691	0.474557
24	4		3247.9	2243.04	0.951898	0.396073
24	5		4103.53	2893.44	0.954282	0.480459
